target,反应类型,条件,truetarget,CorAns,Position,congruency,AffValue,flankerPic,targetPic,corAnsF,corAnsA,RestPic,returnPractice.thisRepN,returnPractice.thisTrialN,returnPractice.thisN,returnPractice.thisIndex,pracNum.thisRepN,pracNum.thisTrialN,pracNum.thisN,pracNum.thisIndex,NumBlock1.thisRepN,NumBlock1.thisTrialN,NumBlock1.thisN,NumBlock1.thisIndex,NumBlock2.thisRepN,NumBlock2.thisTrialN,NumBlock2.thisN,NumBlock2.thisIndex,returnPrac.thisRepN,returnPrac.thisTrialN,returnPrac.thisN,returnPrac.thisIndex,PracAff.thisRepN,PracAff.thisTrialN,PracAff.thisN,PracAff.thisIndex,AffBlocks.thisRepN,AffBlocks.thisTrialN,AffBlocks.thisN,AffBlocks.thisIndex,AffBlock1.thisRepN,AffBlock1.thisTrialN,AffBlock1.thisN,AffBlock1.thisIndex,respNum2word.keys,respNum2word.corr,respNum2word.rt,blank.started,text.started,blank.stopped,text.stopped,respFlanker.keys,respFlanker.corr,thisWord,respAffWord.keys,respAffWord.corr,respAffWord.rt,respFlanker.rt,姓名,性别,年龄（周岁）,date,expName,psychopyVersion,frameRate,
4E,2,1,4.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.010060100001283,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
5H,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,l,0,1.0257298999931663,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
9E,1,1,E,a,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.1124840000411496,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
h9,1,2,h,l,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.309073399985209,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
2a,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,a,0,1.6244173001032323,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
e5,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.847967499983497,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
A5,1,1,A,a,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.118121900013648,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
a6,1,2,a,l,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.7371839999686927,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
2F,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,a,0,0.8750153000000864,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
e4,2,2,4.0,l,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,a,0,1.3598613999783993,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
2A,1,1,A,a,"[0.2, 0.2]",,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.8157864999957383,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
A9,1,2,A,a,"[-0.2, 0.2]",,,,,,,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.767613000003621,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
7e,2,1,7.0,a,"[-0.2, -0.2]",,,,,,,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,l,0,1.248213000013493,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
9H,2,2,9.0,a,"[0.2, -0.2]",,,,,,,,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.1667575999163091,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
h4,1,1,h,l,"[0.2, 0.2]",,,,,,,,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.3515587999718264,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
4H,1,2,H,a,"[-0.2, 0.2]",,,,,,,,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.8096612000372261,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
F8,2,1,8.0,l,"[-0.2, -0.2]",,,,,,,,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.0975982999661937,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
h7,2,2,7.0,a,"[0.2, -0.2]",,,,,,,,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.4612334000412375,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
5e,1,1,e,l,"[0.2, 0.2]",,,,,,,,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.2110948000336066,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
e8,1,2,e,l,"[-0.2, 0.2]",,,,,,,,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.122953200014308,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
4E,2,1,4.0,l,"[-0.2, -0.2]",,,,,,,,1,0,1,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.3424035999923944,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
5H,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,1,0,1,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,l,0,1.3452734999591485,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
9E,1,1,E,a,"[0.2, 0.2]",,,,,,,,1,0,1,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.7153096999973059,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
h9,1,2,h,l,"[-0.2, 0.2]",,,,,,,,1,0,1,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.2468273000558838,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
2a,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,1,0,1,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.8533757000695914,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
e5,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,1,0,1,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.722826800076291,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
A5,1,1,A,a,"[0.2, 0.2]",,,,,,,,1,0,1,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,l,0,1.487009400036186,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
a6,1,2,a,l,"[-0.2, 0.2]",,,,,,,,1,0,1,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.594972399994731,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
2F,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,1,0,1,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.6040314000565559,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
e4,2,2,4.0,l,"[0.2, -0.2]",,,,,,,,1,0,1,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.7553167999722064,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
2A,1,1,A,a,"[0.2, 0.2]",,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.3482952000340447,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
A9,1,2,A,a,"[-0.2, 0.2]",,,,,,,,2,0,2,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.7427005999488756,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
7e,2,1,7.0,a,"[-0.2, -0.2]",,,,,,,,2,0,2,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,l,0,0.6654298999346793,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
9H,2,2,9.0,a,"[0.2, -0.2]",,,,,,,,2,0,2,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.8708139000227675,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
h4,1,1,h,l,"[0.2, 0.2]",,,,,,,,2,0,2,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.1238103000214323,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
4H,1,2,H,a,"[-0.2, 0.2]",,,,,,,,2,0,2,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.6307015999918804,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
F8,2,1,8.0,l,"[-0.2, -0.2]",,,,,,,,2,0,2,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.7496862000552937,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
h7,2,2,7.0,a,"[0.2, -0.2]",,,,,,,,2,0,2,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.2634817000944167,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
5e,1,1,e,l,"[0.2, 0.2]",,,,,,,,2,0,2,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.32548479991965,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
e8,1,2,e,l,"[-0.2, 0.2]",,,,,,,,2,0,2,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.2162322000367567,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
4E,2,1,4.0,l,"[-0.2, -0.2]",,,,,,,,2,0,2,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.3205131998984143,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
5H,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,2,0,2,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.8435531000141054,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
9E,1,1,E,a,"[0.2, 0.2]",,,,,,,,2,0,2,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.2580630000447854,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
h9,1,2,h,l,"[-0.2, 0.2]",,,,,,,,2,0,2,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.7432741998927668,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
2a,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,2,0,2,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.7856232000049204,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
e5,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,2,0,2,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,l,0,0.8424750999547541,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
A5,1,1,A,a,"[0.2, 0.2]",,,,,,,,2,0,2,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.9212736999616027,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
a6,1,2,a,l,"[-0.2, 0.2]",,,,,,,,2,0,2,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.6676589999115095,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
2F,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,2,0,2,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.2086913998937234,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
e4,2,2,4.0,l,"[0.2, -0.2]",,,,,,,,2,0,2,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.7120935999555513,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
7h,1,1,h,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,l,1,0.7886116999434307,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
8F,1,2,F,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,a,1,0.8802255999762565,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
8h,2,1,8.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,l,1,1.0734412999590859,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
a2,2,2,2.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,l,1,0.721699699992314,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
8f,1,1,f,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,l,1,1.0490455001126975,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
6a,1,2,a,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,l,1,0.8747722998959944,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
h6,2,1,6.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,l,1,0.8277548999758437,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
f9,2,2,9.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,a,1,0.8700495000230148,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
E4,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,a,1,0.9995395999867469,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
6e,1,2,e,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,l,1,0.8111133000347763,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
5G,2,1,5.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,a,1,1.1103422999149188,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
h3,2,2,3.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,a,1,1.0855753000359982,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
9e,1,1,e,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,l,1,0.9422118000220507,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
a8,1,2,a,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,l,1,0.7081629000604153,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
e8,2,1,8.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,a,0,1.0115878999931738,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
3f,2,2,3.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,a,1,1.0391076999949291,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
7f,1,1,f,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,a,0,1.0972770999651402,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
a7,1,2,a,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,l,1,1.5686707999557257,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
5A,2,1,5.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,a,1,1.1903878999873996,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
8g,2,2,8.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,l,1,0.8422352999914438,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
9a,1,1,a,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,l,1,1.691738500026986,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
f7,1,2,f,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,l,1,1.8442211999790743,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
g9,2,1,9.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,a,1,1.4389654999831691,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
3h,2,2,3.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,a,1,0.9774481999920681,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
E6,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,a,1,0.97390570002608,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
F6,1,2,F,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,a,1,0.6273523999843746,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
3A,2,1,3.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,a,1,1.2854589000344276,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
8H,2,2,8.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,l,1,0.862201499985531,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
5a,1,1,a,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,a,0,1.198880499927327,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
2h,1,2,h,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,l,1,1.6115685000550002,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
e5,2,1,5.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,a,1,2.4396548999939114,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
a3,2,2,3.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,a,1,1.1702705000061542,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
