target,反应类型,条件,truetarget,CorAns,Position,congruency,AffValue,flankerPic,targetPic,corAnsF,corAnsA,RestPic,returnPractice.thisRepN,returnPractice.thisTrialN,returnPractice.thisN,returnPractice.thisIndex,pracNum.thisRepN,pracNum.thisTrialN,pracNum.thisN,pracNum.thisIndex,NumBlock1.thisRepN,NumBlock1.thisTrialN,NumBlock1.thisN,NumBlock1.thisIndex,NumBlock2.thisRepN,NumBlock2.thisTrialN,NumBlock2.thisN,NumBlock2.thisIndex,returnPrac.thisRepN,returnPrac.thisTrialN,returnPrac.thisN,returnPrac.thisIndex,PracAff.thisRepN,PracAff.thisTrialN,PracAff.thisN,PracAff.thisIndex,AffBlocks.thisRepN,AffBlocks.thisTrialN,AffBlocks.thisN,AffBlocks.thisIndex,AffBlock1.thisRepN,AffBlock1.thisTrialN,AffBlock1.thisN,AffBlock1.thisIndex,respNum2word.keys,respNum2word.corr,respNum2word.rt,text.started,text.stopped,blank.started,blank.stopped,respFlanker.keys,respFlanker.corr,thisWord,respAffWord.keys,respAffWord.corr,respAffWord.rt,respFlanker.rt,姓名,性别,年龄（周岁）,date,expName,psychopyVersion,frameRate
5H,2,2,5,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.2908646,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
9E,1,1,E,a,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.3715728,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
h9,1,2,h,l,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.2437703,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
2a,2,1,2,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.8858489,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
e5,2,2,5,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.775852,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
A5,1,1,A,a,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.5881159,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
a6,1,2,a,l,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.7018296,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
2F,2,1,2,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.0472181,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
e4,2,2,4,l,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.7503788,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
7h,1,1,h,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,l,1,1.5173339,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
8F,1,2,F,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,a,1,2.1591967,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
8h,2,1,8,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,l,1,3.6011433,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
a2,2,2,2,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,l,1,0.8620763,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
8f,1,1,f,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,l,1,1.3689345,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
6a,1,2,a,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,l,1,0.5876998,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
h6,2,1,6,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,l,1,0.6978206,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
f9,2,2,9,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,a,1,0.7469851,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
E4,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,a,1,1.0684209,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
6e,1,2,e,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,l,1,0.675756,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
5G,2,1,5,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,a,1,1.040112,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
h3,2,2,3,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,a,1,0.6724681,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
9e,1,1,e,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,l,1,1.4596587,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
a8,1,2,a,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,l,1,1.6586058,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
e8,2,1,8,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,l,1,1.4209134,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
3f,2,2,3,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,a,1,1.2065071,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
7f,1,1,f,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,l,1,0.9609233,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
a7,1,2,a,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,l,1,0.5767047,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
5A,2,1,5,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,a,1,1.33725,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
8g,2,2,8,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,l,1,0.9372664,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
9a,1,1,a,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,l,1,2.680407,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
f7,1,2,f,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,l,1,0.978023,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
g9,2,1,9,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,a,1,1.0068377,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
3h,2,2,3,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,a,1,0.8486528,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
E6,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,a,1,0.8448702,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
F6,1,2,F,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,a,1,0.4962636,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
3A,2,1,3,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,a,1,1.9285283,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
8H,2,2,8,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,l,1,0.6184791,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
5a,1,1,a,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,l,1,1.2057747,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
2h,1,2,h,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,l,1,2.0043694,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
e5,2,1,5,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,a,1,1.2800205,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
a3,2,2,3,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,a,1,0.5742801,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
f3,1,1,f,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,l,1,1.2594951,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
2E,1,2,E,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,a,1,0.7848941,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
2H,2,1,2,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,l,1,0.7758147,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
H8,2,2,8,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,l,1,0.8673827,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
9g,1,1,g,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,l,1,2.0039282,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
5h,1,2,h,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,l,1,0.8596326,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
e4,2,1,4,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,l,1,1.369865,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
9h,2,2,9,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,,,a,1,0.7176922,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
G3,1,1,G,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,40,40,40,,,,,,,,,,,,,,,,,,,,,a,1,0.9596321,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
9A,1,2,A,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,41,41,41,,,,,,,,,,,,,,,,,,,,,a,1,0.5581978,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
H5,2,1,5,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,42,42,42,,,,,,,,,,,,,,,,,,,,,a,1,0.7489754,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
4e,2,2,4,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,43,43,43,,,,,,,,,,,,,,,,,,,,,l,1,1.0394942,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
E2,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,44,44,44,,,,,,,,,,,,,,,,,,,,,a,1,1.5740046,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
A5,1,2,A,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,45,45,45,,,,,,,,,,,,,,,,,,,,,a,1,0.5059353,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
2A,2,1,2,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,46,46,46,,,,,,,,,,,,,,,,,,,,,l,1,3.2513338,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
6G,2,2,6,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,47,47,47,,,,,,,,,,,,,,,,,,,,,l,1,0.8454964,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
H3,1,1,H,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,48,48,48,,,,,,,,,,,,,,,,,,,,,a,1,1.2561925,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
H2,1,2,H,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,49,49,49,,,,,,,,,,,,,,,,,,,,,a,1,0.7243202,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
e9,2,1,9,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,50,50,50,,,,,,,,,,,,,,,,,,,,,a,1,0.77518,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
2G,2,2,2,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,51,51,51,,,,,,,,,,,,,,,,,,,,,l,1,0.7310789,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
4f,1,1,f,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,52,52,52,,,,,,,,,,,,,,,,,,,,,l,1,0.9264484,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
H6,1,2,H,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,53,53,53,,,,,,,,,,,,,,,,,,,,,a,1,0.5699451,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
A4,2,1,4,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,54,54,54,,,,,,,,,,,,,,,,,,,,,l,1,1.3800297,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
3F,2,2,3,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,55,55,55,,,,,,,,,,,,,,,,,,,,,l,0,1.4096569,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
7e,1,1,e,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,56,56,56,,,,,,,,,,,,,,,,,,,,,l,1,2.2332778,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
F9,1,2,F,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,57,57,57,,,,,,,,,,,,,,,,,,,,,a,1,0.8255903,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
e2,2,1,2,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,58,58,58,,,,,,,,,,,,,,,,,,,,,l,1,2.3157812,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
5F,2,2,5,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,59,59,59,,,,,,,,,,,,,,,,,,,,,a,1,0.7956309,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
f6,1,1,f,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,60,60,60,,,,,,,,,,,,,,,,,,,,,l,1,0.7837144,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
7G,1,2,G,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,61,61,61,,,,,,,,,,,,,,,,,,,,,a,1,1.1217667,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
e6,2,1,6,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,62,62,62,,,,,,,,,,,,,,,,,,,,,l,1,1.8914534,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
3G,2,2,3,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,63,63,63,,,,,,,,,,,,,,,,,,,,,a,1,0.6892842,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
5E,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,64,64,64,,,,,,,,,,,,,,,,,,,,,a,1,0.7661742,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
A6,1,2,A,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,65,65,65,,,,,,,,,,,,,,,,,,,,,a,1,0.6698899,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
E3,2,1,3,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,66,66,66,,,,,,,,,,,,,,,,,,,,,a,1,0.6370631,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
2f,2,2,2,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,67,67,67,,,,,,,,,,,,,,,,,,,,,l,1,1.5200007,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
g3,1,1,g,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,68,68,68,,,,,,,,,,,,,,,,,,,,,l,1,1.7688163,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
E8,1,2,E,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,69,69,69,,,,,,,,,,,,,,,,,,,,,a,1,0.6437026,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
6g,2,1,6,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,70,70,70,,,,,,,,,,,,,,,,,,,,,l,1,4.28649,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
5H,2,2,5,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,71,71,71,,,,,,,,,,,,,,,,,,,,,a,1,0.6564489,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
4A,1,1,A,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,72,72,72,,,,,,,,,,,,,,,,,,,,,a,1,3.3298635,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
7F,1,2,F,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,73,73,73,,,,,,,,,,,,,,,,,,,,,a,1,0.829066,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
6H,2,1,6,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,74,74,74,,,,,,,,,,,,,,,,,,,,,l,1,0.8172715,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
3a,2,2,3,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,75,75,75,,,,,,,,,,,,,,,,,,,,,l,0,0.7835293,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
9F,1,1,F,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,76,76,76,,,,,,,,,,,,,,,,,,,,,a,1,3.6865961,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
G7,1,2,G,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,77,77,77,,,,,,,,,,,,,,,,,,,,,a,1,1.1082952,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
a6,2,1,6,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,78,78,78,,,,,,,,,,,,,,,,,,,,,l,1,0.9345721,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
4h,2,2,4,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,79,79,79,,,,,,,,,,,,,,,,,,,,,l,1,0.8740995,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
6A,1,1,A,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,a,1,1.1303725,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
4H,1,2,H,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,a,1,1.2462416,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
